"Sora","Super Smash Bros. series","2024-01-01"
"Noah","Xenoblade Chronicles series","2024-01-19"
"Mio","Xenoblade Chronicles series","2024-01-19"
"Rayan","Splatoon series","2023-11-17"
"Megan","Splatoon series","2023-11-17"
"Angie","Splatoon series","2023-11-17"
"Ganondorf (Tears of the Kingdom)","The Legend of Zelda series","2023-11-03"
"Zelda (Tears of the Kingdom)","The Legend of Zelda series","2023-11-03"
"Mythra","Super Smash Bros. series","2023-07-21"
"Pyra","Super Smash Bros. series","2023-07-21"
"Link (Tears of the Kingdom)","The Legend of Zelda series","2023-05-12"
"Power-Up Band","Disponible el 17/02/23","2023-02-17"
"Kazuya","Super Smash Bros. series","2023-01-13"
"Sephiroth","Super Smash Bros. series","2023-01-13"
"Escamita","Splatoon series","2022-11-11"
"Octoling (Azul)","Splatoon series","2022-11-11"
"Inkling (Amarillo)","Splatoon series","2022-11-11"
"Steve","Super Smash Bros. series","2022-09-09"
"Alex","Super Smash Bros. series","2022-09-09"
"Palamute (Canyne Malzeno)","Monster Hunter series","2022-06-30"
"Palico (Felyne Malzeno)","Monster Hunter series","2022-06-30"
"Malzeno","Monster Hunter series","2022-06-30"
"Min Min","Super Smash Bros. series","2022-04-26"
"Tarjetas de Animal Crossing, Serie 5","Animal Crossing series","2021-11-05"
"Samus","Metroid series","2021-10-08"
"E.M.M.I.","Metroid series","2021-10-08"
"Zelda and Loftwing","The Legend of Zelda series","2021-07-16"
"Razewing Ratha","Monster Hunter series","2021-07-09"
"Ena","Monster Hunter series","2021-07-09"
"Tsukino","Monster Hunter series","2021-07-09"
"Terry","Super Smash Bros. series","2021-03-26"
"Banjo & Kazooie","Super Smash Bros. series","2021-03-26"
"Byleth","Super Smash Bros. series","2021-03-26"
"Palamute","Monster Hunter series","2021-03-26"
"Magnamalo","Monster Hunter series","2021-03-26"
"Palico","Monster Hunter series","2021-03-26"
"Peach felina","Super Mario series","2021-02-12"
"Mario felino","Super Mario series","2021-02-12"
"Héroe","Super Smash Bros. series","2020-10-02"
"Joker","Super Smash Bros. series","2020-10-02"
"Richter","Super Smash Bros. series","2020-01-17"
"King Knight","Shovel Knight series","2019-12-31"
"Shovel Knight (Gold Edition)","Shovel Knight series","2019-12-10"
"Simon","Super Smash Bros. series","2019-11-15"
"Chrom","Super Smash Bros. series","2019-11-15"
"Incineroar","Super Smash Bros. series","2019-11-15"
"Squirtle","Super Smash Bros. series","2019-09-20"
"Link","The Legend of Zelda series","2019-09-20"
"Snake","Super Smash Bros. series","2019-01-01"
"Pichu","Super Smash Bros. series","2019-01-01"
"Canela","Super Smash Bros. series","2019-01-01"
"Pokémon Trainer","Super Smash Bros. series","2019-01-01"
"Ken","Super Smash Bros. series","2019-04-11"
"Daisy","Super Smash Bros. series","2019-04-11"
"Young Link","Super Smash Bros. series","2019-04-11"
"Specter Knight","Shovel Knight series","2019-04-08"
"Plague Knight","Shovel Knight series","2019-04-08"
"King K. Rool","Super Smash Bros. series","2019-02-14"
"Piranha Plant","Super Smash Bros. series","2019-02-14"
"Ice Climbers","Super Smash Bros. series","2019-02-14"
"Octoling Chico","Splatoon series","2018-12-06"
"Ridley","Super Smash Bros. series","2018-12-06"
"Inkling","Super Smash Bros. series","2018-12-06"
"Octoling pulpo","Splatoon series","2018-12-06"
"Octoling chica","Splatoon series","2018-12-06"
"Wolf","Super Smash Bros. series","2018-12-06"
"Loot Goblin","Diablo series","2018-11-02"
"Solaire of Astora","Dark Souls series","2018-10-18"
"Mega Man","Mega Man series","2018-10-02"
"Marina","Splatoon series","2018-07-12"
"Pearl","Splatoon series","2018-07-12"
"Detective Pikachu","Disponible el 23/03/18","2018-03-23"
"Delicious amiibo","Disponible el 10/12/17","2017-12-10"
"Mipha","The Legend of Zelda: Breath of the Wild series","2017-11-09"
"Revali","The Legend of Zelda: Breath of the Wild series","2017-11-09"
"Daruk","The Legend of Zelda: Breath of the Wild series","2017-11-09"
"Urbosa","The Legend of Zelda: Breath of the Wild series","2017-11-09"
"Mario (Wedding Outfit)","Super Mario Odyssey series","2017-10-26"
"Peach (Wedding Outfit)","Super Mario Odyssey series","2017-10-26"
"Bowser (Wedding Outfit)","Super Mario Odyssey series","2017-10-26"
"Chrom","Fire Emblem series","2017-10-19"
"Tiki","Fire Emblem series","2017-10-19"
"Koopa Troopa","Super Mario series","2017-10-05"
"Goomba","Super Mario series","2017-10-05"
"Metroid","Metroid series","2017-09-15"
"Samus Aran","Metroid series","2017-09-15"
"Pikmin","Pikmin series","2017-07-27"
"Inkling chico","Splatoon series","2017-07-20"
"Corrin","Super Smash Bros. series","2017-07-20"
"Cloud - Jugador 2","Super Smash Bros. series","2017-07-20"
"Bayonetta - Player 2","Super Smash Bros. series","2017-07-20"
"Bayonetta","Super Smash Bros. series","2017-07-20"
"Inkling chica","Splatoon series","2017-07-20"
"Inkling calamar","Splatoon series","2017-07-20"
"Cloud","Super Smash Bros. series","2017-07-20"
"Corrin - Jugador 2","Super Smash Bros. series","2017-07-20"
"Link (Twilight Princess)","The Legend of Zelda series","2017-06-22"
"Link (Majora's Mask)","The Legend of Zelda series","2017-06-22"
"Link (Skyward Sword)","The Legend of Zelda series","2017-06-22"
"Alm","Fire Emblem series","2017-05-18"
"Celica","Fire Emblem series","2017-05-18"
"Mario Sports Superstars","Mario Sports Superstars series","2017-03-23"
"Peach","Super Mario series","2017-03-23"
"Link (Arquero)","The Legend of Zelda: Breath of the Wild series","2017-03-02"
"Bokoblin","The Legend of Zelda: Breath of the Wild series","2017-03-02"
"Zelda","The Legend of Zelda: Breath of the Wild series","2017-03-02"
"Link (Rider)","The Legend of Zelda: Breath of the Wild series","2017-03-02"
"Guardian","The Legend of Zelda: Breath of the Wild series","2017-03-02"
"Poochy","Yoshi's Woolly World series","2017-02-02"
"Paquete de colaboración Sanrio de Animal Crossing","Animal Crossing series","2016-12-02"
"Animal Crossing: New Leaf - Welcome amiibo series","Animal Crossing series","2016-12-01"
"Link (Ocarina of Time)","30th Anniversary series","2016-12-01"
"Link (The Legend of Zelda)","30th Anniversary series","2016-12-01"
"Toon Link (The Wind Waker)","30th Anniversary series","2016-12-01"
"Zelda (The Wind Waker)","30th Anniversary series","2016-12-01"
"Rosalina","Super Mario series","2016-11-03"
"Daisy","Super Mario series","2016-11-03"
"Wario","Super Mario series","2016-11-03"
"Waluigi","Super Mario series","2016-11-03"
"Diddy Kong","Super Mario series","2016-11-03"
"Donkey Kong","Super Mario series","2016-11-03"
"Boo","Super Mario series","2016-11-03"
"Mar","Splatoon series","2016-07-07"
